序號,提案名稱,主提案人,所有提案人,進度,首次排入院會日期.x,會期,提案編號,no,pdf
49,立法院職權行使法第十六條條文修正草案,鄭運鵬,鄭運鵬,1080329   一讀(委員會待審),1080329,09屆07期07次,23委23022,1080315070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\07\07\LCEWA01_090707_00007.pdf
50,立法院職權行使法增訂第二十八條之一及第二十八條之二條文草案,呂孫綾,呂孫綾,1071106   三讀,1060324,09屆03期06次,23委20352,1060313070200900,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\03\06\LCEWA01_090306_00012.pdf
51,立法院職權行使法部分條文修正草案,時代力量黨團等,時代力量黨團  黃國昌  林昶佐  徐永明,1070524   委員會審竣,1051021,09屆02期07次,23委19646,1051012070200100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\02\07\LCEWA01_090207_00009.pdf
52,立法院職權行使法第七十條條文修正草案,王榮璋等,王榮璋  劉世芳  呂孫綾  江永昌  王定宇,1070524   委員會審竣,1050513,09屆01期13次,23委19129,1050509070201800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\13\LCEWA01_090113_00051.pdf
53,立法院職權行使法部分條文修正草案,時代力量黨團等,時代力量黨團  高潞．以用．巴魕剌  徐永明  洪慈庸  黃國昌  林昶佐,1071106   二讀(廣泛討論),1050415,09屆01期09次,23委18859,1050406070201400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\09\LCEWA01_090109_00041.pdf
54,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  柯建銘  吳秉叡  李俊俋  陳亭妃,1070524   委員會審議中,1050415,09屆01期09次,23委18908,1050411070201200,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\09\LCEWA01_090109_00058.pdf
55,立法院職權行使法部分條文修正草案,顧立雄等,顧立雄  莊瑞雄,1070524   委員會審議中,1050408,09屆01期08次,23委18800,1050330070201000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\08\LCEWA01_090108_00042.pdf
56,立法院職權行使法第五十四條及第七十條條文修正草案,張廖萬堅,張廖萬堅,1070524   委員會審竣,1050325,09屆01期06次,23委18674,1050316070200200,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\06\LCEWA01_090106_00041.pdf
57,立法院職權行使法增訂第八條之一條文草案,陳明文,陳明文,1051111   二讀(已議決),1050325,09屆01期06次,23委18692,1050317070201700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\06\LCEWA01_090106_00058.pdf
58,立法院職權行使法第五十五條條文修正草案,段宜康,段宜康,1070524   委員會審竣,1050325,09屆01期06次,23委18705,1050318070200400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\06\LCEWA01_090106_00077.pdf
59,立法院職權行使法部分條文修正草案,段宜康,段宜康,1070524   委員會審竣,1050325,09屆01期06次,23委18706,1050318070200500,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\06\LCEWA01_090106_00078.pdf
60,立法院職權行使法增訂第十三條之一、第十三條之二及第十三條之三條文草案,尤美女等,尤美女  鍾佳濱  周春米,1070524   委員會審竣,1050311,09屆01期04次,23委18470,1050303070201300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\04\LCEWA01_090104_00029.pdf
61,立法院職權行使法部分條文修正草案,尤美女等,尤美女  顧立雄,1070524   委員會審議中,1050304,09屆01期03次,23委18353,1050225070201400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\03\LCEWA01_090103_00017.pdf
62,立法院職權行使法第七十條條文修正草案,李昆澤,李昆澤,1070524   委員會審竣,1050304,09屆01期03次,23委18361,1050225070260400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\03\LCEWA01_090103_00025.pdf
63,立法院職權行使法部分條文修正草案,林俊憲,林俊憲,1070524   委員會審議中,1050304,09屆01期03次,23委18392,1050226070200400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\03\LCEWA01_090103_00057.pdf
64,立法院職權行使法部分條文修正草案,李俊俋等,李俊俋  徐國勇  賴瑞隆,1070524   委員會審議中,1050304,09屆01期03次,23委18438,1050301070201800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\03\LCEWA01_090103_00103.pdf
65,立法院職權行使法部分條文修正草案,國民黨黨團等,國民黨黨團  林德福,1070524   委員會審議中,1050304,09屆01期03次,23委18443,1050301070201900,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\03\LCEWA01_090103_00108.pdf
66,立法院職權行使法部分條文修正草案,國民黨黨團等,國民黨黨團  林德福,1070524   委員會審議中,1050304,09屆01期03次,23委18444,1050301070202000,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\03\LCEWA01_090103_00109.pdf
67,立法院職權行使法第十五條之二及第四十五條條文修正草案,賴瑞隆,賴瑞隆,1070524   委員會審議中,1050226,09屆01期02次,23委18254,1050219070201300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\02\LCEWA01_090102_00019.pdf
68,立法院職權行使法部分條文修正草案,蘇巧慧等,蘇巧慧  張宏陸,1070524   委員會審竣,1050226,09屆01期02次,23委18268,1050219070202700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\02\LCEWA01_090102_00033.pdf
69,立法院職權行使法第七十條條文修正草案,時代力量黨團等,時代力量黨團  林昶佐  高潞．以用．巴魕剌  徐永明  黃國昌  洪慈庸,1070524   委員會審竣,1050226,09屆01期02次,23委18327,1050223070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\02\LCEWA01_090102_00092.pdf
70,立法院職權行使法部分條文修正草案,時代力量黨團等,時代力量黨團  高潞．以用．巴魕剌  林昶佐  徐永明  黃國昌  洪慈庸,1070524   委員會審議中,1050226,09屆01期02次,23委18328,1050223070200400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\02\LCEWA01_090102_00093.pdf
71,立法院職權行使法第七十條及第七十一條之一條文修正草案,親民黨黨團等,親民黨黨團  李鴻鈞,1070524   委員會審竣,1050219,09屆01期01次,23委18234,1050216070200800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\01\LCEWA01_090101_00038.pdf
72,立法院職權行使法部分條文修正草案,親民黨黨團等,親民黨黨團  李鴻鈞,1070524   委員會審議中,1050219,09屆01期01次,23委18235,1050216070200900,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\09\01\01\LCEWA01_090101_00039.pdf
73,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  柯建銘  蔡其昌  陳亭妃,1041211   一讀(委員會待審),1041211,08屆08期13次,23委18184,1041207070200100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\08\13\LCEWA01_080813_00021.pdf
74,立法院職權行使法第七十一條之一條文修正草案,盧秀燕等,盧秀燕  張嘉郡  蔡錦隆  羅淑蕾  楊瓊瓔,1041127   一讀(委員會待審),1041127,08屆08期11次,23委18145,1041119070200200,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\08\11\LCEWA01_080811_00021.pdf
75,立法院職權行使法第六十八條、第七十條及第七十一條之一條文修正草案,國民黨黨團等,國民黨黨團  林德福,1041120   一讀(委員會待審),1041120,08屆08期10次,23委18102,1041110070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\08\10\LCEWA01_080810_00016.pdf
76,立法院職權行使法第七十條條文修正草案,盧秀燕等,盧秀燕  張嘉郡  楊應雄  楊瓊瓔,1041120   一讀(委員會待審),1041120,08屆08期10次,23委18115,1041112070200200,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\08\10\LCEWA01_080810_00029.pdf
77,立法院職權行使法第六十八條、第七十條及第七十一條之一條文修正草案,李貴敏等,李貴敏  張嘉郡  陳鎮湘  黃志雄,1041120   一讀(委員會待審),1041120,08屆08期10次,23委18116,1041112070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\08\10\LCEWA01_080810_00030.pdf
78,立法院職權行使法部分條文修正草案,國民黨黨團等,國民黨黨團  林德福,1041120   一讀(委員會待審),1041120,08屆08期10次,23委18133,1041116070200400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\08\10\LCEWA01_080810_00037.pdf
79,立法院職權行使法第五十五條條文修正草案,段宜康,段宜康,1040529   一讀(委員會待審),1040529,08屆07期14次,23委17823,1040521070203700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\07\14\LCEWA01_080714_00050.pdf
80,立法院職權行使法第四十九條條文修正草案,李俊俋等,李俊俋  葉宜津,1041211   一讀(委員會待審),1030530,08屆05期12次,23委16541,1030521070200700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\05\12\LCEWA01_080512_00040.pdf
81,立法院職權行使法第七十條條文修正草案,陳其邁等,陳其邁  蘇震清,1041211   一讀(委員會待審),1030530,08屆05期12次,23委16493,1030516070200200,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\05\12\LCEWA01_080512_00102.pdf
82,立法院職權行使法增訂第四十九條之一條文草案,陳其邁等,陳其邁  蘇震清,1041211   一讀(委員會待審),1030530,08屆05期12次,23委16494,1030516070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\05\12\LCEWA01_080512_00103.pdf
83,立法院職權行使法增訂第十三條之一、第十三條之二及第十三條之三條文草案,尤美女等,尤美女  陳亭妃  吳秉叡  李俊俋  李昆澤  林佳龍  蘇震清  姚文智  蔡其昌  鄭麗君,1041216   退回程序,1030418,08屆05期06次,23委16217,1030403070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\05\06\LCEWA01_080506_00099.pdf
84,立法院職權行使法第七十條條文修正草案,陳其邁等,陳其邁  蔡其昌  葉宜津  魏明谷  林佳龍  邱議瑩  蘇震清,1041211   一讀(委員會待審),1030103,08屆04期17次,23委16033,1021226070200700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\04\17\LCEWA01_080417_00045.pdf
